Nombre,Últ.,% Dif.,Máx.,Mín.,Volumen,Efectivo (miles €),Fecha,Hora
ACCIONA,"140,2000","1,45","140,8000","137,9000",48.220,"6.720,73",08/04/2021,17:18:46
ACERINOX,"11,3100","0,67","11,3200","11,1750",304.318,"3.426,67",08/04/2021,17:19:20
ACS,"27,8500","-0,61","28,2500","27,4600",463.873,"12.843,25",08/04/2021,17:19:33
AENA,"140,1000","1,37","140,1500","138,1000",70.330,"9.778,69",08/04/2021,17:18:14
ALMIRALL,"12,6100","0,32","12,7200","12,5000",214.123,"2.703,14",08/04/2021,17:19:30
AMADEUS,"60,2400","0,50","60,4600","59,8800",294.773,"17.744,65",08/04/2021,17:19:28
ARCELORMIT.,"24,4050","-0,12","24,9600","24,1200",286.162,"7.002,30",08/04/2021,17:19:11
B.SANTANDER,"2,9200","-1,02","2,9710","2,8790",19.569.441,"56.988,66",08/04/2021,17:19:21
BA.SABADELL,"0,4614","-1,26","0,4695","0,4536",25.824.294,"11.835,81",08/04/2021,17:19:25
BANKINTER,"5,8700","0,38","5,8960","5,7600",1.257.056,"7.315,10",08/04/2021,17:19:27
BBVA,"4,5415","0,52","4,5645","4,4435",8.730.066,"39.351,34",08/04/2021,17:19:38
CAIXABANK,"2,5810","-1,38","2,6360","2,5450",7.414.057,"19.110,04",08/04/2021,17:19:16
CELLNEX,"41,7800","-1,32","43,2400","40,8300",2.044.824,"85.890,19",08/04/2021,17:19:37
CIE AUTOMOT.,"22,5000","1,08","22,5200","22,1800",43.523,"973,30",08/04/2021,17:18:25
ENAGAS,"18,6150","-0,88","18,9450","18,5650",484.764,"9.081,07",08/04/2021,17:19:19
ENDESA,"23,0100","1,28","23,0400","22,7200",412.516,"9.445,39",08/04/2021,17:19:20
FERROVIAL,"22,3800","1,36","22,4600","21,9200",360.705,"8.009,90",08/04/2021,17:19:27
FLUIDRA,"25,0500","-0,99","25,7500","25,0500",154.960,"3.931,32",08/04/2021,17:13:14
GRIFOLS CL.A,"23,4700","4,87","23,7000","22,5400",1.152.516,"26.822,20",08/04/2021,17:18:58
IAG,"2,4770","-1,71","2,5370","2,4400",14.161.139,"35.000,47",08/04/2021,17:19:28
IBERDROLA,"11,5150","2,40","11,5150","11,2350",6.327.603,"72.014,67",08/04/2021,17:19:19
INDITEX,"27,8200","-0,47","28,2300","27,7100",607.149,"16.912,80",08/04/2021,17:19:11
INDRA A,"7,4600","-1,71","7,5950","7,4100",629.420,"4.709,18",08/04/2021,17:19:00
INM.COLONIAL,"8,2700","-0,36","8,3000","8,1600",173.971,"1.431,75",08/04/2021,17:19:27
MAPFRE,"1,7950","-1,51","1,8350","1,7915",2.016.847,"3.636,24",08/04/2021,17:18:57
MELIA HOTELS,"6,5500","-1,98","6,7240","6,4640",581.334,"3.809,49",08/04/2021,17:19:14
MERLIN,"9,0900","0,80","9,1320","8,9440",338.255,"3.063,92",08/04/2021,17:19:24
NATURGY,"20,8800","0,68","20,9400","20,7600",181.557,"3.784,64",08/04/2021,17:17:15
PHARMA MAR,"97,7400","1,08","97,8000","94,1000",138.487,"13.239,79",08/04/2021,17:19:17
R.E.C.,"15,1700","1,20","15,2000","14,9650",598.287,"9.044,76",08/04/2021,17:19:33
REPSOL,"10,1940","-2,69","10,5280","10,1060",5.620.807,"57.465,95",08/04/2021,17:19:32
SIEMENS GAME,"31,3800","2,58","31,4300","30,4400",556.815,"17.243,63",08/04/2021,17:19:29
SOLARIA,"18,5650","2,97","18,6700","17,8000",821.348,"15.065,34",08/04/2021,17:18:59
TELEFONICA,"3,8040","-0,05","3,8410","3,7725",7.478.470,"28.376,95",08/04/2021,17:19:35
VISCOFAN,"60,3000","1,69","60,4500","59,4000",53.913,"3.233,08",08/04/2021,17:17:47
