Nombre,Últ.,% Dif.,Máx.,Mín.,Volumen,Efectivo (miles €),Fecha,Hora,Capitalización
ACCIONA,"139,8000","-0,71","141,2000","139,4000",31.466,"4.412,33",09/04/2021,15:08:25,7.723.817
ACERINOX,"11,4000","0,97","11,4800","11,2350",467.473,"5.319,79",09/04/2021,15:09:31,3.054.467
ACS,"27,5700","-0,93","27,9800","27,5600",443.641,"12.371,17",09/04/2021,15:08:05,8.645.796
AENA,"139,6000","-0,21","140,4000","139,3000",66.551,"9.304,57",09/04/2021,15:08:05,20.985.000
ALMIRALL,"12,5100","-0,79","12,6400","12,4800",119.663,"1.500,56",09/04/2021,15:03:06,2.246.038
AMADEUS,"59,2200","-2,08","60,4200","59,1200",158.754,"9.488,26",09/04/2021,15:09:28,27.246.192
ARCELORMIT.,"24,2950","-0,33","24,6050","24,1400",134.006,"3.264,24",09/04/2021,15:07:51,26.880.988
B.SANTANDER,"2,9190","-0,10","2,9410","2,8860",19.061.474,"55.642,51",09/04/2021,15:09:32,50.669.354
BA.SABADELL,"0,4603","-0,09","0,4644","0,4512",18.212.514,"8.326,57",09/04/2021,15:09:29,2.592.343
BANKINTER,"5,8540","-0,37","5,8960","5,8280",460.364,"2.698,30",09/04/2021,15:08:01,5.281.738
BBVA,"4,4680","-1,55","4,5620","4,4360",8.504.859,"38.125,40",09/04/2021,15:09:41,30.262.203
CAIXABANK,"2,5920","0,50","2,5980","2,5560",3.308.999,"8.531,54",09/04/2021,15:08:56,20.788.409
CELLNEX,"41,9800","-0,05","42,3200","41,7200",1.419.573,"59.645,30",09/04/2021,15:09:37,20.441.764
CIE AUTOMOT.,"21,7400","-2,86","22,3800","21,7000",99.499,"2.181,71",09/04/2021,15:01:32,2.742.669
ENAGAS,"18,7550","0,54","18,7700","18,4900",271.269,"5.050,46",09/04/2021,15:09:15,4.887.425
ENDESA,"22,6800","-1,22","23,0000","22,6800",285.305,"6.528,91",09/04/2021,15:09:09,24.308.949
FERROVIAL,"22,3800","-0,09","22,4400","22,0700",177.633,"3.967,36",09/04/2021,15:08:44,16.417.013
FLUIDRA,"25,3500","1,00","25,8500","25,1000",274.201,"6.973,45",09/04/2021,15:05:55,4.910.290
GRIFOLS CL.A,"23,4000","0,04","23,5200","23,1700",278.966,"6.525,58",09/04/2021,15:07:30,9.967.176
IAG,"2,4440","-1,57","2,4990","2,4410",5.247.869,"12.964,89",09/04/2021,15:09:46,12.344.175
IBERDROLA,"11,5250","-0,09","11,5900","11,4650",5.762.689,"66.608,58",09/04/2021,15:08:35,74.033.429
INDITEX,"27,7700","-0,50","27,8800","27,5700",587.146,"16.270,93",09/04/2021,15:09:03,86.985.757
INDRA A,"7,4600","0,13","7,5100","7,3950",585.730,"4.367,45",09/04/2021,15:08:51,1.316.075
INM.COLONIAL,"8,1300","-1,51","8,2650","8,1300",77.438,"635,49",09/04/2021,15:08:59,4.194.488
MAPFRE,"1,7795","-0,84","1,7990","1,7735",1.967.249,"3.503,74",09/04/2021,15:08:51,5.526.258
MELIA HOTELS,"6,4560","-1,44","6,5960","6,4520",386.299,"2.518,26",09/04/2021,15:08:46,1.443.620
MERLIN,"8,9180","-1,76","9,0720","8,9180",203.289,"1.828,76",09/04/2021,15:08:28,4.264.579
NATURGY,"20,8700","-0,71","21,0200","20,8100",71.377,"1.490,14",09/04/2021,15:06:13,20.381.282
PHARMA MAR,"95,0400","-2,22","97,7200","94,5800",50.815,"4.876,69",09/04/2021,15:09:13,1.784.097
R.E.C.,"15,1500","-0,66","15,2300","15,0800",669.644,"10.170,08",09/04/2021,15:08:31,8.251.470
REPSOL,"10,2000","-0,06","10,2540","10,1400",1.552.204,"15.825,89",09/04/2021,15:09:13,16.001.891
SIEMENS GAME,"30,9300","-1,47","31,4700","30,8800",289.625,"9.015,98",09/04/2021,15:09:19,21.381.091
SOLARIA,"17,8650","-4,05","18,6350","17,7650",836.849,"15.052,08",09/04/2021,15:09:19,2.326.585
TELEFONICA,"3,8050","-0,34","3,8400","3,7825",3.964.014,"15.079,11",09/04/2021,15:08:46,21.099.914
VISCOFAN,"60,0000","-0,25","60,4500","59,7000",31.178,"1.871,05",09/04/2021,15:08:55,2.796.975
